"Team","idseason","Player","Fixture","Game","idgame","Season","Phase","Round","Home_Away","Against","Position","Minutes played","Goals","Assists","Yellow card","Red card","Shots on target","Shots off target","Shots blocked","Dribble attempts","Dribble attempts succ","Penalty won","Big chances missed","Penalty miss","Hit woodwork","Defensive actions","Clearances","Blocked shots","Interceptions","Total tackles","Dribbled past","Penalty committed","Own goals","Last man tackle","Error led to shot","Clearance off line","Error led to goal","Touches","Accurate passes","Total passes","Accurate passes(%)","Key passes","Total Crosses","Accurate Crosses","Total Long balls","Accurate Long balls","Big chances created","Duels","Duels won","Ground duels","Ground duels won","Aerial duels","Aerial duels won","Possession lost","Fouls","Was fouled","Offsides","Saves","Punches","Runs out","Runs out succ","High claims","Saves from inside box","Penalties saved","Dribble(%)","Passes(%)","Crosses(%)","Long balls(%)","Duels(%)","Ground duels(%)","Aerial duels(%)","Runs out(%)","Result"
"PAS Lamia 1964","7_3_2024-2025","Antonis Dentakis",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","D",10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,10,5,5,"(100%)",1,2,0,0,0,0,3,1,3,1,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0.333,0.333,NA,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Cristopher Nunez",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","M",90,0,0,0,0,0,0,0,4,1,0,0,0,0,6,0,0,0,6,2,0,0,0,0,0,0,64,37,44,"(84%)",1,0,0,1,0,0,16,9,14,8,2,1,12,1,1,0,NA,NA,NA,NA,NA,NA,NA,0.25,0.841,NA,0,0.562,0.571,0.5,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Nedim Mekic",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","M",45,0,0,0,0,1,2,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,28,11,18,"(61%)",1,2,1,4,2,0,3,3,3,3,0,0,8,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,0.611,0.5,0.5,1,1,NA,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Sebastian Ring",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","M",90,0,0,1,0,0,0,0,3,1,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,53,23,28,"(82%)",2,1,0,1,0,0,14,6,12,5,2,1,10,3,3,0,NA,NA,NA,NA,NA,NA,NA,0.333,0.821,0,0,0.429,0.417,0.5,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Leo",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","D",90,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,43,33,36,"(92%)",0,0,0,2,2,0,5,2,4,1,1,1,3,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.917,NA,1,0.4,0.25,1,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Georgios Kornezos",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","D",90,0,0,0,0,0,0,1,1,1,0,0,0,0,8,0,1,4,3,0,0,0,1,0,0,0,48,31,35,"(89%)",0,0,0,1,0,0,8,5,7,4,1,1,6,2,0,0,NA,NA,NA,NA,NA,NA,NA,1,0.886,NA,0,0.625,0.571,1,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Ivan Kostic",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","G",90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,29,14,21,"(67%)",0,0,0,12,6,0,0,0,0,0,0,0,7,0,0,0,4,1,0,0,0,3,0,NA,0.667,NA,0.5,NA,NA,NA,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Giorgos Saramantas",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","D",45,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,18,10,10,"(100%)",0,0,0,0,0,0,4,1,4,1,0,0,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.25,0.25,NA,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Artem Bykov",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","F",80,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,36,26,29,"(90%)",0,0,0,2,2,0,7,5,5,3,2,2,4,2,1,0,NA,NA,NA,NA,NA,NA,NA,1,0.897,NA,1,0.714,0.6,1,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Saliou Guindo",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","F",90,0,0,0,0,0,3,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,32,15,20,"(75%)",0,0,0,0,0,0,11,2,6,1,5,1,11,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.5,0.75,NA,NA,0.182,0.167,0.2,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Giannis Doiranlis",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","M",66,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,0,0,4,2,0,0,0,0,0,0,39,20,23,"(87%)",0,0,0,1,0,0,12,7,11,7,1,0,7,1,2,0,NA,NA,NA,NA,NA,NA,NA,1,0.87,NA,0,0.583,0.636,0,NA,"Lose"
"Volos NFC","1_2_2024-2025","Alexios Kalogeropoulos",1,2,"1_2","2024-2025","Regular Season","First Round","Home","Olympiacos FC","D",90,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,1,1,0,0,0,0,0,0,42,23,31,"(74%)",0,0,0,4,1,0,15,8,4,2,11,6,8,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.742,NA,0.25,0.533,0.5,0.545,NA,"Lose"
"Volos NFC","1_2_2024-2025","Pavlos Correa",1,2,"1_2","2024-2025","Regular Season","First Round","Home","Olympiacos FC","D",90,0,0,0,0,0,1,0,1,1,0,0,0,0,8,5,1,1,1,0,0,1,0,0,0,0,38,17,27,"(63%)",0,0,0,9,3,0,4,3,2,2,2,1,10,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,0.63,NA,0.333,0.75,1,0.5,NA,"Lose"
"Volos NFC","1_2_2024-2025","Jasin Assehnoun",1,2,"1_2","2024-2025","Regular Season","First Round","Home","Olympiacos FC","F",79,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,3,0,0,0,0,0,0,0,35,15,18,"(83%)",0,5,0,2,2,0,10,4,7,4,3,0,10,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.833,0,1,0.4,0.571,0,NA,"Lose"
"Volos NFC","1_2_2024-2025","Marios Siabanis",1,2,"1_2","2024-2025","Regular Season","First Round","Home","Olympiacos FC","G",90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,38,15,25,"(60%)",0,0,0,18,9,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,1,3,0,NA,0.6,NA,0.5,NA,NA,NA,NA,"Lose"
